name,diameter,red
orange,6.16,173
orange,6.16,149
orange,6.16,178
orange,6.16,160
orange,6.16,150
orange,6.17,160
orange,6.17,144
orange,6.17,162
orange,6.17,159
orange,6.18,138
orange,6.18,150
orange,6.18,160
orange,6.19,162
orange,6.19,154
orange,6.2,152
orange,6.2,166
orange,6.2,146
orange,6.21,142
orange,6.21,160
orange,6.22,166
orange,6.22,172
orange,6.22,145
orange,6.23,167
orange,6.23,145
orange,6.23,162
orange,6.23,165
orange,6.24,138
orange,6.24,145
orange,6.25,153
orange,6.25,169
orange,6.25,149
orange,6.25,164
orange,6.26,149
orange,6.26,167
orange,6.27,168
orange,6.27,147
orange,6.27,169
orange,6.27,152
orange,6.27,165
orange,6.28,153
orange,6.28,144
orange,6.28,152
orange,6.28,146
orange,6.28,159
orange,6.29,153
orange,6.29,156
orange,6.29,156
orange,6.3,134
orange,6.3,153
orange,6.3,150
orange,6.31,140
orange,6.31,145
orange,6.32,166
orange,6.32,152
orange,6.32,166
orange,6.32,167
orange,6.32,165
orange,6.33,154
orange,6.33,163
orange,6.33,161
orange,6.33,144
orange,6.33,143
orange,6.34,171
orange,6.35,160
orange,6.37,151
orange,6.37,135
orange,6.37,157
orange,6.38,156
orange,6.38,156
orange,6.38,158
orange,6.38,151
orange,6.38,155
orange,6.39,163
orange,6.4,142
orange,6.4,146
orange,6.4,185
orange,6.4,161
orange,6.4,156
orange,6.41,180
orange,6.41,168
orange,6.41,161
orange,6.41,160
orange,6.42,156
orange,6.42,155
orange,6.42,172
orange,6.42,140
orange,6.42,155
orange,6.43,169
orange,6.43,146
orange,6.43,178
orange,6.43,159
orange,6.44,171
orange,6.44,170
orange,6.44,149
orange,6.44,174
orange,6.44,151
orange,6.44,162
orange,6.45,156
orange,6.45,146
orange,6.46,152
orange,6.47,144
orange,6.47,164
orange,6.47,145
orange,6.48,156
orange,6.48,177
orange,6.49,146
orange,6.49,152
orange,6.49,146
orange,6.49,136
orange,6.5,150
orange,6.5,161
orange,6.5,149
orange,6.5,159
orange,6.5,165
orange,6.5,167
orange,6.51,153
orange,6.51,156
orange,6.52,164
orange,6.52,161
orange,6.52,166
orange,6.52,142
orange,6.53,166
orange,6.53,144
orange,6.53,178
orange,6.54,158
orange,6.54,144
orange,6.54,148
orange,6.54,144
orange,6.54,183
orange,6.54,177
orange,6.55,145
orange,6.55,148
orange,6.55,161
orange,6.55,163
orange,6.55,143
orange,6.56,158
orange,6.56,142
orange,6.56,154
orange,6.57,170
orange,6.57,154
orange,6.57,158
orange,6.57,172
orange,6.57,152
orange,6.57,144
orange,6.57,159
orange,6.58,152
orange,6.58,143
orange,6.58,165
orange,6.58,160
orange,6.58,176
orange,6.58,154
orange,6.58,148
orange,6.58,161
orange,6.59,151
orange,6.59,160
orange,6.59,159
orange,6.59,169
orange,6.59,149
orange,6.59,162
orange,6.59,151
orange,6.6,142
orange,6.6,160
orange,6.6,157
orange,6.6,167
orange,6.6,158
orange,6.6,157
orange,6.6,137
orange,6.61,151
orange,6.61,143
orange,6.61,154
orange,6.61,164
orange,6.61,164
orange,6.61,147
orange,6.62,151
orange,6.62,154
orange,6.62,158
orange,6.62,151
orange,6.62,142
orange,6.62,158
orange,6.62,157
orange,6.62,152
orange,6.62,167
orange,6.62,153
orange,6.62,154
orange,6.63,143
orange,6.63,153
orange,6.63,144
orange,6.64,157
orange,6.64,161
orange,6.64,165
orange,6.64,153
orange,6.64,171
orange,6.64,137
orange,6.64,170
orange,6.65,167
orange,6.65,170
orange,6.65,154
orange,6.65,150
orange,6.65,148
orange,6.65,143
orange,6.65,159
orange,6.65,150
orange,6.65,167
orange,6.66,153
orange,6.66,159
orange,6.67,167
orange,6.67,155
orange,6.67,135
orange,6.67,146
orange,6.67,145
orange,6.67,149
orange,6.68,159
orange,6.68,147
orange,6.68,163
orange,6.68,156
orange,6.69,135
orange,6.69,159
orange,6.69,165
orange,6.69,163
orange,6.69,160
orange,6.69,144
orange,6.69,164
orange,6.7,148
orange,6.7,144
orange,6.7,140
orange,6.7,168
orange,6.7,171
orange,6.7,151
orange,6.71,153
orange,6.71,147
orange,6.71,145
orange,6.71,162
orange,6.71,148
orange,6.71,163
orange,6.71,170
orange,6.72,162
orange,6.72,168
orange,6.72,146
orange,6.72,152
orange,6.73,147
orange,6.73,154
orange,6.73,162
orange,6.73,151
orange,6.73,151
orange,6.73,160
orange,6.74,158
orange,6.74,149
orange,6.74,153
orange,6.74,147
orange,6.75,169
orange,6.75,137
orange,6.75,159
orange,6.76,165
orange,6.76,152
orange,6.76,164
orange,6.77,166
orange,6.77,171
orange,6.77,164
orange,6.77,161
orange,6.77,140
orange,6.77,154
orange,6.77,160
orange,6.78,149
orange,6.78,152
orange,6.78,162
orange,6.78,171
orange,6.78,153
orange,6.79,144
orange,6.79,156
orange,6.79,163
orange,6.79,137
orange,6.8,161
orange,6.8,150
orange,6.8,171
orange,6.8,172
orange,6.8,157
orange,6.8,155
orange,6.8,141
orange,6.8,161
orange,6.8,163
orange,6.81,155
orange,6.81,156
orange,6.82,163
orange,6.82,164
orange,6.82,166
orange,6.82,164
orange,6.82,170
orange,6.82,149
orange,6.82,169
orange,6.82,151
orange,6.82,145
orange,6.82,159
orange,6.82,160
orange,6.82,150
orange,6.83,169
orange,6.83,160
orange,6.83,156
orange,6.83,154
orange,6.84,154
orange,6.84,168
orange,6.84,132
orange,6.84,139
orange,6.84,149
orange,6.84,166
orange,6.84,158
orange,6.84,156
orange,6.85,159
orange,6.85,167
orange,6.85,155
orange,6.85,180
orange,6.85,147
orange,6.85,155
orange,6.85,165
orange,6.85,167
orange,6.86,152
orange,6.86,124
orange,6.86,153
orange,6.86,154
orange,6.86,174
orange,6.87,135
orange,6.87,168
orange,6.87,149
orange,6.87,153
orange,6.87,156
orange,6.87,163
orange,6.87,162
orange,6.88,152
orange,6.88,142
orange,6.88,152
orange,6.88,149
orange,6.88,154
orange,6.88,154
orange,6.88,127
orange,6.88,166
orange,6.89,143
orange,6.89,151
orange,6.89,153
orange,6.89,137
orange,6.89,152
orange,6.89,158
orange,6.89,155
orange,6.9,159
orange,6.9,158
orange,6.9,151
orange,6.9,149
orange,6.9,161
orange,6.9,144
orange,6.9,149
orange,6.9,169
orange,6.9,155
orange,6.9,151
orange,6.9,151
orange,6.91,159
orange,6.91,145
orange,6.91,160
orange,6.91,156
orange,6.91,167
orange,6.91,156
orange,6.91,157
orange,6.91,145
orange,6.91,159
orange,6.91,147
orange,6.91,152
orange,6.91,164
orange,6.92,168
orange,6.92,158
orange,6.92,164
orange,6.92,155
orange,6.92,152
orange,6.92,142
orange,6.93,162
orange,6.93,138
orange,6.93,161
orange,6.93,170
orange,6.93,165
orange,6.93,156
orange,6.93,180
orange,6.93,155
orange,6.93,162
orange,6.93,151
orange,6.93,153
orange,6.93,155
orange,6.93,153
orange,6.94,141
orange,6.94,161
orange,6.94,147
orange,6.94,139
orange,6.94,172
orange,6.94,168
orange,6.95,162
orange,6.95,149
orange,6.95,163
orange,6.95,168
orange,6.95,141
orange,6.95,151
orange,6.95,156
orange,6.95,155
orange,6.95,147
orange,6.95,157
orange,6.95,152
orange,6.96,156
orange,6.96,151
orange,6.96,152
orange,6.96,156
orange,6.97,163
orange,6.97,169
orange,6.97,162
orange,6.97,138
orange,6.97,169
orange,6.97,151
orange,6.98,170
orange,6.98,161
orange,6.98,145
orange,6.98,161
orange,6.98,152
orange,6.98,165
orange,6.98,153
orange,6.98,171
orange,6.99,150
orange,6.99,153
orange,6.99,156
orange,6.99,156
orange,6.99,141
orange,6.99,147
orange,6.99,152
orange,6.99,157
orange,6.99,160
orange,6.99,179
orange,6.99,157
orange,7,152
orange,7,153
orange,7,164
orange,7,164
orange,7,158
orange,7,157
orange,7,152
orange,7,155
orange,7.01,153
orange,7.01,145
orange,7.01,158
orange,7.01,157
orange,7.01,153
orange,7.01,157
orange,7.01,160
orange,7.01,159
orange,7.01,153
orange,7.02,173
orange,7.02,148
orange,7.02,165
orange,7.02,163
orange,7.02,147
orange,7.02,167
orange,7.02,154
orange,7.02,160
orange,7.02,147
orange,7.03,162
orange,7.03,153
orange,7.03,155
orange,7.03,165
orange,7.03,159
orange,7.03,149
orange,7.03,146
orange,7.03,134
orange,7.03,156
orange,7.03,175
orange,7.03,160
orange,7.03,160
orange,7.03,161
orange,7.03,153
orange,7.04,166
orange,7.04,150
orange,7.04,166
orange,7.04,161
orange,7.04,176
orange,7.05,166
orange,7.05,172
orange,7.05,163
orange,7.05,157
orange,7.05,173
orange,7.06,169
orange,7.06,158
orange,7.06,146
orange,7.06,169
orange,7.06,158
orange,7.06,157
orange,7.06,129
orange,7.07,180
orange,7.07,148
orange,7.07,143
orange,7.07,167
orange,7.07,163
orange,7.07,150
orange,7.07,169
orange,7.08,149
orange,7.08,159
orange,7.08,154
orange,7.08,169
orange,7.08,153
orange,7.08,145
orange,7.08,166
orange,7.08,155
orange,7.08,152
orange,7.09,144
orange,7.09,161
orange,7.09,162
orange,7.09,163
orange,7.09,156
orange,7.09,168
orange,7.09,143
orange,7.1,149
orange,7.1,165
orange,7.1,149
orange,7.1,162
orange,7.1,159
orange,7.1,148
orange,7.1,158
orange,7.1,163
orange,7.1,161
orange,7.1,160
orange,7.1,155
orange,7.11,144
orange,7.11,173
orange,7.11,172
orange,7.11,143
orange,7.11,166
orange,7.11,179
orange,7.11,162
orange,7.11,152
orange,7.11,186
orange,7.11,141
orange,7.11,146
orange,7.11,159
orange,7.12,153
orange,7.12,150
orange,7.12,139
orange,7.12,157
orange,7.12,164
orange,7.12,146
orange,7.12,175
orange,7.12,147
orange,7.12,159
orange,7.13,156
orange,7.13,147
orange,7.13,168
orange,7.13,140
orange,7.14,150
orange,7.14,156
orange,7.14,138
orange,7.14,147
orange,7.14,164
orange,7.14,178
orange,7.14,140
orange,7.14,148
orange,7.15,147
orange,7.15,160
orange,7.15,154
orange,7.15,155
orange,7.15,158
orange,7.15,172
orange,7.15,155
orange,7.15,156
orange,7.15,162
orange,7.15,149
orange,7.15,145
orange,7.16,166
orange,7.16,145
orange,7.16,149
orange,7.16,169
orange,7.16,153
orange,7.16,173
orange,7.16,154
orange,7.16,156
orange,7.16,161
orange,7.16,161
orange,7.17,146
orange,7.17,167
orange,7.17,169
orange,7.17,145
orange,7.17,154
orange,7.17,147
orange,7.17,151
orange,7.18,159
orange,7.18,158
orange,7.18,163
orange,7.18,175
orange,7.18,169
orange,7.18,166
orange,7.19,146
orange,7.19,138
orange,7.19,156
orange,7.19,157
orange,7.19,148
orange,7.19,146
orange,7.19,157
orange,7.19,164
orange,7.19,150
orange,7.19,154
orange,7.19,153
orange,7.2,152
orange,7.2,154
orange,7.2,159
orange,7.2,169
orange,7.2,153
orange,7.2,145
orange,7.2,153
orange,7.2,155
orange,7.21,145
orange,7.21,139
orange,7.21,164
orange,7.21,161
orange,7.21,147
orange,7.21,147
orange,7.21,157
orange,7.21,147
orange,7.21,155
orange,7.21,180
orange,7.22,150
orange,7.22,162
orange,7.22,161
orange,7.22,170
orange,7.22,140
orange,7.22,156
orange,7.22,137
orange,7.22,167
orange,7.22,169
orange,7.22,152
orange,7.22,152
orange,7.23,149
orange,7.23,155
orange,7.23,164
orange,7.23,163
orange,7.23,151
orange,7.23,151
orange,7.23,142
orange,7.23,150
orange,7.23,158
orange,7.23,181
orange,7.23,159
orange,7.23,168
orange,7.24,145
orange,7.24,157
orange,7.24,156
orange,7.24,174
orange,7.24,168
orange,7.24,127
orange,7.25,156
orange,7.25,167
orange,7.25,159
orange,7.26,152
orange,7.26,162
orange,7.26,168
orange,7.26,164
orange,7.26,160
orange,7.26,143
orange,7.26,169
orange,7.26,160
orange,7.26,147
orange,7.26,159
orange,7.26,160
orange,7.26,162
orange,7.26,149
orange,7.27,160
orange,7.27,146
orange,7.27,164
orange,7.27,182
orange,7.27,145
orange,7.27,153
orange,7.27,158
orange,7.27,143
orange,7.27,163
orange,7.27,156
orange,7.28,149
orange,7.28,154
orange,7.28,167
orange,7.28,139
orange,7.28,151
orange,7.28,165
orange,7.28,166
orange,7.28,150
orange,7.28,160
orange,7.28,163
orange,7.28,145
orange,7.28,147
orange,7.29,147
orange,7.29,167
orange,7.29,161
orange,7.29,154
orange,7.29,162
orange,7.29,158
orange,7.29,167
orange,7.29,154
orange,7.29,162
orange,7.3,187
orange,7.3,157
orange,7.3,175
orange,7.3,147
orange,7.3,138
orange,7.3,155
orange,7.3,159
orange,7.3,164
orange,7.3,174
orange,7.3,163
orange,7.31,165
orange,7.31,143
orange,7.31,144
orange,7.31,165
orange,7.31,149
orange,7.31,164
orange,7.31,148
orange,7.31,155
orange,7.31,159
orange,7.31,155
orange,7.31,165
orange,7.31,152
orange,7.31,154
orange,7.32,143
orange,7.32,169
orange,7.32,155
orange,7.32,153
orange,7.32,134
orange,7.32,148
orange,7.32,155
orange,7.32,149
orange,7.32,150
orange,7.32,133
orange,7.32,161
orange,7.32,160
orange,7.33,167
orange,7.33,160
orange,7.33,145
orange,7.33,170
orange,7.33,149
orange,7.33,174
orange,7.34,152
orange,7.34,158
orange,7.34,165
orange,7.34,140
orange,7.34,166
orange,7.34,168
orange,7.34,165
orange,7.35,157
orange,7.35,146
orange,7.35,161
orange,7.35,162
orange,7.35,162
orange,7.35,139
orange,7.35,157
orange,7.35,158
orange,7.35,149
orange,7.35,149
orange,7.36,142
orange,7.36,171
orange,7.36,153
orange,7.36,141
orange,7.36,151
orange,7.36,157
orange,7.36,149
orange,7.36,148
orange,7.36,153
orange,7.36,136
orange,7.37,147
orange,7.37,154
orange,7.37,162
orange,7.37,163
orange,7.37,149
orange,7.38,166
orange,7.38,153
orange,7.38,144
orange,7.38,152
orange,7.38,154
orange,7.38,151
orange,7.38,139
orange,7.38,151
orange,7.39,156
orange,7.39,170
orange,7.39,159
orange,7.39,160
orange,7.39,159
orange,7.39,150
orange,7.39,145
orange,7.39,189
orange,7.39,166
orange,7.39,160
orange,7.39,160
orange,7.39,168
orange,7.39,135
orange,7.4,148
orange,7.4,157
orange,7.4,155
orange,7.4,159
orange,7.4,156
orange,7.4,168
orange,7.4,148
orange,7.4,156
orange,7.4,150
orange,7.41,143
orange,7.41,147
orange,7.41,152
orange,7.41,171
orange,7.41,155
orange,7.41,151
orange,7.41,142
orange,7.41,161
orange,7.41,142
orange,7.42,154
orange,7.42,150
orange,7.42,163
orange,7.42,164
orange,7.42,146
orange,7.42,164
orange,7.42,159
orange,7.42,144
orange,7.42,166
orange,7.43,152
orange,7.43,152
orange,7.43,141
orange,7.43,176
orange,7.43,144
orange,7.43,175
orange,7.43,156
orange,7.43,155
orange,7.43,158
orange,7.44,164
orange,7.44,140
orange,7.44,148
orange,7.44,166
orange,7.44,163
orange,7.44,172
orange,7.44,139
orange,7.44,171
orange,7.44,160
orange,7.45,148
orange,7.45,164
orange,7.45,155
orange,7.45,168
orange,7.45,151
orange,7.45,155
orange,7.45,168
orange,7.45,164
orange,7.45,144
orange,7.45,150
orange,7.45,160
orange,7.45,157
orange,7.45,151
orange,7.45,170
orange,7.45,173
orange,7.46,185
orange,7.46,136
orange,7.46,179
orange,7.46,156
orange,7.46,161
orange,7.46,176
orange,7.46,146
orange,7.46,156
orange,7.46,154
orange,7.46,150
orange,7.46,166
orange,7.47,158
orange,7.47,158
orange,7.47,158
orange,7.47,161
orange,7.47,163
orange,7.47,152
orange,7.47,175
orange,7.47,153
orange,7.47,138
orange,7.47,157
orange,7.47,154
orange,7.47,175
orange,7.48,173
orange,7.48,158
orange,7.48,152
orange,7.48,164
orange,7.48,148
orange,7.48,146
orange,7.48,157
orange,7.48,167
orange,7.48,152
orange,7.48,157
orange,7.49,139
orange,7.49,163
orange,7.49,149
orange,7.49,168
orange,7.49,144
orange,7.49,155
orange,7.49,158
orange,7.49,154
orange,7.49,142
orange,7.49,163
orange,7.49,167
orange,7.49,142
orange,7.5,141
orange,7.5,162
orange,7.5,158
orange,7.5,152
orange,7.5,163
orange,7.5,155
orange,7.5,143
orange,7.5,153
orange,7.5,170
orange,7.5,148
orange,7.51,157
orange,7.51,157
orange,7.51,160
orange,7.51,157
orange,7.51,147
orange,7.51,147
orange,7.51,145
orange,7.51,148
orange,7.51,163
orange,7.51,142
orange,7.51,138
orange,7.51,173
orange,7.51,164
orange,7.52,157
orange,7.52,173
orange,7.52,177
orange,7.52,157
orange,7.52,156
orange,7.52,136
orange,7.52,146
orange,7.52,167
orange,7.52,172
orange,7.52,157
orange,7.52,165
orange,7.52,154
orange,7.52,182
orange,7.52,149
orange,7.52,167
orange,7.52,158
orange,7.52,169
orange,7.53,178
orange,7.53,172
orange,7.53,154
orange,7.53,155
orange,7.53,144
orange,7.53,153
orange,7.53,145
orange,7.53,165
orange,7.53,175
orange,7.53,168
orange,7.53,154
orange,7.53,170
orange,7.54,132
orange,7.54,166
orange,7.54,170
orange,7.54,156
orange,7.54,158
orange,7.54,145
orange,7.54,145
orange,7.55,145
orange,7.55,155
orange,7.55,155
orange,7.55,147
orange,7.55,154
orange,7.55,155
orange,7.55,157
orange,7.55,154
orange,7.55,160
orange,7.55,167
orange,7.55,175
orange,7.55,151
orange,7.56,162
orange,7.56,158
orange,7.56,150
orange,7.56,168
orange,7.56,160
orange,7.56,146
orange,7.56,173
orange,7.56,146
orange,7.56,159
orange,7.56,157
orange,7.56,149
orange,7.56,146
orange,7.57,150
orange,7.57,154
orange,7.57,165
orange,7.57,144
orange,7.57,147
orange,7.57,146
orange,7.57,161
orange,7.57,180
orange,7.57,159
orange,7.57,149
orange,7.57,149
orange,7.57,159
orange,7.57,142
orange,7.57,142
orange,7.58,155
orange,7.58,141
orange,7.58,161
orange,7.58,147
orange,7.58,145
orange,7.58,168
orange,7.58,171
orange,7.58,154
orange,7.58,166
orange,7.58,158
orange,7.58,167
orange,7.58,156
orange,7.59,158
orange,7.59,172
orange,7.59,154
orange,7.59,149
orange,7.59,162
orange,7.59,159
orange,7.59,149
orange,7.59,143
orange,7.59,164
orange,7.6,148
orange,7.6,150
orange,7.6,159
orange,7.6,169
orange,7.6,162
orange,7.6,149
orange,7.6,150
orange,7.6,161
orange,7.6,162
orange,7.6,157
orange,7.61,136
orange,7.61,167
orange,7.61,135
orange,7.61,154
orange,7.61,168
orange,7.61,150
orange,7.61,126
orange,7.61,167
orange,7.61,160
orange,7.61,153
orange,7.61,163
orange,7.61,145
orange,7.61,146
orange,7.61,149
orange,7.61,155
orange,7.62,159
orange,7.62,148
orange,7.62,163
orange,7.62,141
orange,7.62,150
orange,7.62,156
orange,7.62,154
orange,7.62,163
orange,7.62,163
orange,7.62,163
orange,7.63,155
orange,7.63,154
orange,7.63,162
orange,7.63,174
orange,7.63,140
orange,7.63,173
orange,7.63,149
orange,7.63,159
orange,7.63,152
orange,7.63,168
orange,7.63,157
orange,7.63,156
orange,7.63,166
orange,7.63,152
orange,7.63,159
orange,7.63,155
orange,7.64,162
orange,7.64,146
orange,7.64,171
orange,7.64,160
orange,7.64,151
orange,7.64,156
orange,7.64,148
orange,7.65,158
orange,7.65,177
orange,7.65,158
orange,7.65,148
orange,7.65,167
orange,7.65,161
orange,7.65,146
orange,7.65,158
orange,7.65,157
orange,7.65,166
orange,7.65,163
orange,7.65,166
orange,7.65,176
orange,7.66,174
orange,7.66,147
orange,7.66,156
orange,7.66,164
orange,7.66,154
orange,7.66,167
orange,7.66,149
orange,7.66,155
orange,7.66,153
orange,7.67,133
orange,7.67,161
orange,7.67,160
orange,7.67,148
orange,7.67,165
orange,7.67,170
orange,7.67,150
orange,7.67,165
orange,7.67,162
orange,7.67,158
orange,7.67,165
orange,7.67,165
orange,7.67,167
orange,7.67,153
orange,7.67,152
orange,7.67,153
orange,7.68,159
orange,7.68,150
orange,7.68,154
orange,7.68,145
orange,7.68,158
orange,7.68,157
orange,7.68,179
orange,7.68,159
orange,7.68,137
orange,7.68,155
orange,7.68,158
orange,7.68,157
orange,7.68,150
orange,7.68,154
orange,7.69,161
orange,7.69,149
orange,7.69,141
orange,7.69,152
orange,7.69,154
orange,7.69,163
orange,7.69,187
orange,7.69,146
orange,7.69,163
orange,7.69,156
orange,7.69,158
orange,7.69,153
orange,7.69,153
orange,7.7,153
orange,7.7,163
orange,7.7,177
orange,7.7,158
orange,7.7,161
orange,7.7,164
orange,7.7,176
orange,7.7,153
orange,7.71,140
orange,7.71,166
orange,7.71,156
orange,7.71,146
orange,7.71,169
orange,7.71,168
orange,7.71,161
orange,7.71,175
orange,7.71,160
orange,7.71,159
orange,7.71,155
orange,7.71,169
orange,7.71,155
orange,7.71,166
orange,7.71,138
orange,7.71,161
orange,7.72,140
orange,7.72,160
orange,7.72,162
orange,7.72,164
orange,7.72,160
orange,7.72,162
orange,7.72,171
orange,7.72,152
orange,7.72,162
orange,7.72,144
orange,7.72,159
orange,7.72,148
orange,7.72,154
orange,7.72,145
orange,7.72,162
orange,7.73,158
orange,7.73,161
orange,7.73,166
orange,7.73,157
orange,7.73,160
orange,7.73,162
orange,7.73,173
orange,7.73,148
orange,7.74,138
orange,7.74,148
orange,7.74,152
orange,7.74,150
orange,7.74,165
orange,7.74,169
orange,7.74,149
orange,7.74,154
orange,7.74,157
orange,7.74,154
orange,7.74,165
orange,7.74,146
orange,7.75,160
orange,7.75,144
orange,7.75,141
orange,7.75,151
orange,7.75,154
orange,7.75,151
orange,7.75,159
orange,7.75,149
orange,7.75,163
orange,7.75,157
orange,7.75,151
orange,7.75,166
orange,7.75,164
orange,7.75,156
orange,7.75,156
orange,7.75,132
orange,7.75,129
orange,7.75,154
orange,7.76,151
orange,7.76,165
orange,7.76,154
orange,7.76,151
orange,7.76,142
orange,7.76,164
orange,7.76,169
orange,7.76,182
orange,7.76,162
orange,7.76,156
orange,7.76,152
orange,7.77,163
orange,7.77,148
orange,7.77,149
orange,7.77,157
orange,7.77,154
orange,7.77,141
orange,7.77,157
orange,7.77,149
orange,7.77,156
orange,7.77,150
orange,7.77,156
orange,7.77,147
orange,7.77,159
orange,7.77,163
orange,7.77,163
orange,7.77,153
orange,7.77,160
orange,7.77,158
orange,7.78,154
orange,7.78,155
orange,7.78,163
orange,7.78,151
orange,7.78,163
orange,7.78,167
orange,7.78,148
orange,7.78,161
orange,7.78,158
orange,7.78,157
orange,7.78,153
orange,7.78,171
orange,7.78,145
orange,7.78,158
orange,7.78,146
orange,7.79,147
orange,7.79,176
orange,7.79,173
orange,7.79,137
orange,7.79,166
orange,7.79,161
orange,7.79,149
orange,7.79,160
orange,7.79,153
orange,7.79,161
orange,7.79,161
orange,7.79,153
orange,7.79,165
orange,7.79,176
orange,7.79,161
orange,7.79,151
orange,7.79,164
orange,7.8,152
orange,7.8,151
orange,7.8,157
orange,7.8,159
orange,7.8,170
orange,7.8,170
orange,7.8,149
orange,7.8,159
orange,7.8,155
orange,7.8,137
orange,7.8,177
orange,7.8,154
orange,7.8,154
orange,7.8,159
orange,7.8,149
orange,7.81,165
orange,7.81,154
orange,7.81,164
orange,7.81,161
orange,7.81,148
orange,7.81,152
orange,7.81,156
orange,7.81,148
orange,7.81,168
orange,7.81,160
orange,7.81,156
orange,7.81,168
orange,7.81,137
orange,7.81,149
orange,7.81,161
orange,7.81,153
orange,7.81,166
orange,7.81,165
orange,7.82,140
orange,7.82,157
orange,7.82,163
orange,7.82,168
orange,7.82,147
orange,7.82,154
orange,7.82,147
orange,7.82,123
orange,7.82,174
orange,7.82,158
orange,7.82,146
orange,7.82,161
orange,7.82,141
orange,7.82,146
orange,7.82,151
orange,7.83,146
orange,7.83,171
orange,7.83,140
orange,7.83,150
orange,7.83,167
orange,7.83,167
orange,7.83,156
orange,7.83,157
orange,7.83,149
orange,7.83,152
orange,7.83,153
orange,7.83,157
orange,7.83,157
orange,7.83,158
orange,7.83,155
orange,7.84,157
orange,7.84,166
orange,7.84,149
orange,7.84,155
orange,7.84,161
orange,7.84,161
orange,7.84,152
orange,7.84,155
orange,7.84,175
orange,7.84,150
orange,7.84,151
orange,7.84,149
orange,7.84,158
orange,7.84,132
orange,7.84,175
orange,7.84,154
orange,7.85,148
orange,7.85,159
orange,7.85,168
orange,7.85,155
orange,7.85,163
orange,7.85,138
orange,7.85,177
orange,7.85,162
orange,7.85,161
orange,7.85,168
orange,7.85,164
orange,7.85,142
orange,7.85,137
orange,7.85,153
orange,7.86,155
orange,7.86,147
orange,7.86,145
orange,7.86,159
orange,7.86,178
orange,7.86,154
orange,7.86,152
orange,7.86,162
orange,7.86,155
orange,7.86,155
orange,7.86,156
orange,7.86,170
orange,7.86,160
orange,7.86,171
orange,7.86,159
orange,7.86,149
orange,7.86,167
orange,7.86,168
orange,7.86,159
